item_id,round,draft,kind,target,tracker_url,source_run,program_or_operator,torch_versions_reproduced,platforms,verification_text,contract_valid,duplicate_relation,root_cause_id,root_cause_label,layer,symptom,axis,oracle,attribution,status_bucket,status_findings_csv,status_date,status_evidence,fix_merged,new_since_snapshot
B11,1,0913/11,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197094,TO_SUBMIT rows 23; `plan/scripts/diag_optim_complex_foreach.py`（8 个优化器 × complex64/float32 × 4 路对照），`plan/scripts/optimizer_step_diff.py` + `plan/results/optim/OPTIM.md`（6.4 全量差分）,compiled SGD.step with foreach=True and complex parameters: lowering assertion,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows + Linux）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/leads2linux.txt`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC12,foreach SGD lowering on complex parameters,In,F,P-dtype,TRACEERR,A,已确认,confirmed,2026-09-25,"williamwen42 (MEMBER) triaged it, added `has workaround`, cc'd and assigned hameerabbasi | re-check: 1 human comment(s), human labels ['dynamo-triaged (williamwen42)'], assignees ['hameerabbasi']",no,
B12,1,0913/12,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197095,TO_SUBMIT rows 3; `plan/reports_decomp/interpolate_zero_size/`（`minimal_verified.py`、`DEDUP.md`、`ISSUE_FINAL.md`），`plan/scripts/confirm_decomp_batch2.py`,interpolate on an empty spatial dim returns uninitialised data instead of raising,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause (RC13); maintainers later listed it as a member of umbrella #197554,RC13,interpolate decomposition reads out of bounds on zero-size dim,De,S,P-edge,EXC,A,已确认,confirmed,2026-09-25,"malfet (core maintainer): “eager raises correctly and the compiled path bypasses it”; made a member of his umbrella #197554 “[PT2] Validation lost”; yashb98 volunteered a fix | re-check: 2 human comment(s), human labels ['triaged (frgossen)'], assignees []",no,
B13,1,0913/13,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197096,TO_SUBMIT rows 12; `plan/reports_aoti/lifted_constant_mutation/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/diag_aoti_instance_norm2.py`,mutated captured tensor: export accepts and AOTInductor asserts,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,expected-behavior: AOTI maintainer calls mutation of a lifted constant unsupported after functionalization (still open),independent root cause,RC14,export/AOTI mutated lifted constant (maintainers: expected),Ex,F,Q-artifact,TRACEERR,A,拒绝,rejected,2026-09-25,"yushangdi (AOTI maintainer): “kinda expected behavior” — mutation of lifted constants is unsupported after functionalization; still open | re-check: state open, 1 human comment(s)",no,
B14,1,0913/14,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197097,TO_SUBMIT rows 4; `plan/reports_decomp/vector_norm_empty_batch/`（`minimal_verified.py`、`DEDUP.md`、`ISSUE_FINAL.md`），`plan/scripts/verify_issue_claims.py`,vector_norm(ord=inf) on an empty batch fails for negative dim,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC15,_refs vector_norm empty-dim check ignores negative dim,De,F,P-edge,TRACEERR,A,已修复,fixed,2026-09-25,fix PR #197231 open (“Fixes”) | re-check: PR #197231 open (Fixes),no (open fix PR #197231),
B15,1,0913/15,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197098,TO_SUBMIT rows 8; `plan/reports_decomp/bce_weight_dtype/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/confirm_decomp_batch2.py`,binary_cross_entropy / huber_loss return float32 for half-precision inputs,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause,RC16,Inductor loss lowering dtype promotion (bce weight / huber),In,S,P-dtype,DTYPE,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['oncall: pt2', 'oncall: cpu inductor', 'bot-triaged'], human labels []",no,
B16,1,0913/16,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197099,TO_SUBMIT rows 7; `plan/reports_decomp/pdist_empty_backward_crash/`（`minimal_verified.py` 逐例子进程运行、`DEDUP.md`），`plan/scripts/find_crash_variant.py nn.functional.pdist --grad`,pdist backward on zero rows: integer division by zero kills the process,2.14.0+cpu,Windows,torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`），Windows 11,"no: eager-side defect, eager and compiled both crash (attribution B); found by the harness, not an eager!=compiled divergence",independent root cause,RC17,eager pdist_backward integer division by zero (eager defect),Eg,C,P-edge,CRASH,B,已确认,fixed,2026-09-25,"CHANGED since 09-23: fix PR #197152 was closed unmerged on 2026-09-24 (no mergebot merge, issue still open); chinmayirm posted the root cause on 09-21 -> 已确认 | re-check: 1 human comment(s), PRs [(197152, 'closed', True)], human labels []",no,
B17,1,0913/17,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197101,"TO_SUBMIT rows 15; `plan/reports_dynsem/random_module/minimal_verified.py`（`seed_fn`），`plan/scripts/diag_random_compile.py`（""seed inside"" 段），`plan/kaggle_out/randomlinux.txt`",random.seed inside the function is ignored on the first call,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows + Linux）；nightly 2.15.0.dev20260911 (Win) / dev20260912 (Linux)。backend=eager 与 inductor 相同,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause (RC03; distinct fix PR from B2),RC03,Dynamo random.seed ignored on the compiling call,Dy,S,Q-seq,VALUE,A,已修复,fixed,2026-09-25,"PR #197221 “Fixes #197101” landed as c8e4ab54e0 (2026-09-17); human-triaged by williamwen42 (`triaged`, `dynamo-triaged`) | re-check: PR #197221 closed (Fixes)",yes: closed by commit c8e4ab54e0,
B18,1,0913/18,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197102,TO_SUBMIT rows 17; `plan/scripts/diag_dynamic_fstring_namedtuple.py`，`plan/results/dynsem_dynamic/DYNSEM.md`（`dataclass_namedtuple` 命中）,namedtuple == with tensor fields overflows the stack (Python 3.14 + dynamic),2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu 与 nightly 2.15.0.dev20260911 —— **Windows + Python 3.14**。Linux + Python 3.11（Kaggle，2.14.0 与 nightly dev20260912）**不复现**（与 eager 一致），见 `kaggle_out/leadslinux.txt` → 是 Python 3.14 专属（Dynamo 的 3.14 支持），提交时必须写明,yes: eager raises RuntimeError (or returns True); compiled raises RecursionError; Windows + Python 3.14 only,independent root cause,RC18,Dynamo namedtuple __eq__ recursion on symbolic shapes (Py3.14),Dy,F,Q-context,EXC,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['module: crash', 'triaged', 'oncall: pt2', 'module: dynamic shapes', 'module: python version', 'bot-triaged', 'release triage'], human labels []",no,
B19,1,0913/19,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197103,TO_SUBMIT rows 2; `plan/reports_metamorphic/bmm_autotune_windows_export/`，`plan/scripts/diag_autotune.py`、`diag_autotune_tb.py`、`diag_autotune2.py`,bmm under max_autotune: missing symbol export in a C++ template (Windows),2.14.0+cpu,Windows,torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`），Windows 11 / MSVC 19.44,"yes: eager works, max_autotune on Windows fails for every bmm (missing dllexport in a C++ template)",independent root cause,RC19,cpp_bmm_template missing export declaration (Windows),In,F,Q-context,TRACEERR,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['module: windows', 'module: cpu', 'triaged', 'oncall: pt2', 'module: inductor', 'bot-triaged', 'release triage'], human labels []",no,
B20,1,0913/20,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197104,TO_SUBMIT rows 11; `plan/reports_aoti/return_types_packaging/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/diag_aoti.py`,AOTInductor cannot package models returning torch.return_types.*,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,"yes (artifact path): torch.compile/export work, aoti_compile_and_package fails",independent root cause,RC20,AOTI packaging has no serialization for torch.return_types,Ex,F,Q-artifact,TRACEERR,A,已修复,fixed,2026-09-25,PR #197128 by maintainer yushangdi landed as bc77d149b7 (2026-09-16); issue was assigned to yushangdi | re-check: PR #197128 closed (Fixes),yes: closed by commit bc77d149b7,
B21,1,0913/21,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197105,TO_SUBMIT rows 20; `plan/scripts/diag_dtype_leads.py`,lerp of Boolean tensors with a 0-d weight fails to compile,2.14.0+cpu; 2.14.0+cu130; 2.15.0.dev20260911,"Windows, Linux, CUDA T4",torch 2.14.0+cpu（Windows）；nightly 2.15.0.dev20260911（Windows）；2.14.0+cu130（T4）与 Linux CPU（`kaggle_out/dtypesgpu`，`lerp_w` 行）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC21,lerp lowering for bool tensors with 0-d weight,De,F,P-dtype,TRACEERR,A,已修复,fixed,2026-09-25,contributor N0AHZACH took it; fix PR #197193 open | re-check: PR #197193 open (Fixes),no (open fix PR #197193),
B22,1,0913/22,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197106,TO_SUBMIT rows 21; `plan/scripts/diag_dtype_leads.py`，`plan/kaggle_out/dtypesgpu/plan/gpu_dtypes_cpu/DTYPE_MATRIX.md`（`sum_dtype` 行）,sum / prod with dtype=torch.bool: C++ error / assertion,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows/MSVC）；nightly 2.15.0.dev20260911（Windows）；Linux CPU 2.14.0 与 nightly dev20260912（g++，`kaggle_out/leadslinux.txt`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC22,sum/prod lowering with dtype=bool,In,F,P-dtype,TRACEERR,A,已确认,pending,2026-09-25,"CHANGED since 09-23: TANGBUDU (CONTRIBUTOR) reproduced on f28a8c4796 and described a lowering fix (09-22); no PR yet | re-check: 1 human comment(s), PRs [], human labels []",no,"human comment(s) present but no verdict in snapshot: TANGBUDU(CONTRIBUTOR,2026-09-22): ""I'd like to contribute a fix for this issue. The analysis below was prepared with Codex.\n\n> Reproduced on `f28a8c4796` w"""
B23,1,0913/23,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197107,TO_SUBMIT rows 10; `plan/reports_metamorphic/addmm_scalar_bias_autotune/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/diag_autotune_tb.py`,addmm with a 0-d bias under max_autotune: IndexError in lowering,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC23,tuned_addmm indexes stride before rank check,In,F,Q-context,TRACEERR,A,已修复,fixed,2026-09-25,two volunteers; fix PR #197214 open | re-check: PR #197214 open (Fixes),no (open fix PR #197214),
B24,1,0913/24,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197108,TO_SUBMIT rows 6; `plan/reports_opinfo_all/0211b330cc67/`（`ISSUE_FINAL.md`、`minimal_verified.py`），第 4 轮四个上下文 2/2、第 6 轮 5 个程序再次命中,var_mean / std_mean of an empty tensor: mean is 0 instead of NaN,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause,RC24,Welford lowering returns mean 0 for empty input,In,S,P-edge,VALUE,A,已修复,fixed,2026-09-25,contributor he-yufeng root-caused it to the Welford lowering path; fix PR #197165 open | re-check: PR #197165 open (Fixes),no (open fix PR #197165),
B25,1,0913/25,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197109,TO_SUBMIT rows 9; `plan/reports_decomp/channel_shuffle_channels_last/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/confirm_batch3.py`,channel_shuffle loses the channels_last layout,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,yes (metadata): memory format of the output differs (channels_last lost),independent root cause,RC25,channel_shuffle decomposition drops channels_last,In,S,P-scs,LAYOUT,A,已确认,confirmed,2026-09-25,"eellison (maintainer) diagnosed it (“This is due to the decomp not preserving channels last”), retitled it “[Fake Tensor/Decomps] …” and added `module: fakeTensor`, `module: decompositions` | re-check: 1 human comment(s), human labels ['module: fakeTensor (eellison)', 'module: decompositions (eellison)'], assignees []",no,
B26,1,0913/26,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197110,TO_SUBMIT rows 22; `plan/scripts/diag_keyerror_str.py`，`plan/results/dynsem2/DYNSEM.md`（`exception_after_graph_break` 命中——原程序里 graph break 之后的段落反而是对的，分歧出在被追踪的段落）,str(KeyError(k)) loses the quotes CPython adds,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows Py3.14 + Linux Py3.11）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/leads2linux.txt`）。backend=eager，`fullgraph=True` 或任何没有 graph break 的追踪,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause,RC26,Dynamo str(KeyError) omits CPython quotes,Dy,S,P-corpus,VALUE,A,已修复,fixed,2026-09-25,"human-triaged by williamwen42, who told a volunteer “feel free to open a PR”; fix PR #197443 open | re-check: PR #197443 closed (Fixes)",yes: closed by commit 887633d60b,
B27,1,0913/27,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197112,TO_SUBMIT rows 30; `plan/scripts/diag_unary_out_complex.py`，`plan/results/unary_dtype/UNARY_DTYPE.md`（一元算子 × dtype × out= 扫描）,abs(complex out=float64) rejected by the meta kernel,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows Py3.14 + Linux Py3.11）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/unarylinux.txt`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC27,abs ref exact_dtype=True rejects complex->real out,De,F,P-dtype,TRACEERR,A,已确认,confirmed,2026-09-25,"DannyChee1 reproduced it on nightly 2.15.0.dev20260915 and traced it to `exact_dtype=True` on the `abs` ref (#140288) | re-check: 1 human comment(s), human labels [], assignees []",no,
C1,2,0920/01,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197887,TO_SUBMIT rows 31; `plan/reports_validation/saved_tensor_mutation.py`、`plan/reports_validation/saved_view_variants.py`（12 个变体 × 3 后端，逐用例独立进程）；发现来源 `plan/scripts/error_parity_batch2.py`（用例 `saved_input_modified_before_backward`）,autograd's in-place-modification check lost when a view of an input is saved for backward: silent wrong gradients,2.14.0+cpu; 2.14.0+cu130; 2.15.0.dev20260911; 2.15.0.dev20260919,"Windows, Linux, CUDA T4",torch 2.14.0+cpu 与 nightly 2.15.0.dev20260911+cpu（Windows，逐用例独立进程）；Linux CPU 2.14.0 与 nightly 2.15.0.dev20260919（`kaggle_out/savedviewlinux.log`）；Tesla T4 CUDA 2.14.0+cu130（`kaggle_out/savedviewgpu.log`）——12 个变体的表在四个环境里完全相同,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause,RC28,AOTAutograd/Inductor saved-view version counter check lost,AOT,S,P-scs,GRAD,A,已修复,fixed,2026-09-25,fix PR #198035 “[aot_autograd] Restore version checks for saved input views” open (“Fixes”); chinmayirm confirmed the `_reinterpret_tensor` / version-counter analysis | re-check: PR #198035 open (Fixes),no (open fix PR #198035),
