root_cause_id,subcase,primary,weakest,T1,T2,T3,observables,eager_exc,compiled_exc,compiled_exit,compiled_phase,first_finding
C14,remainder_n8,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C15,uint8_argmin,1,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C15,uint8_min,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C15,int8_neg_max,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C15,int8_neg_argmax,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C16,round_shape_neg1,1,T1,1,1,1,value,,,0x0,exit,call0 output[0]: non-float values differ exactly
C16,x_times_round,0,T1,1,1,1,value,,,0x0,exit,call1 output[0]: |ref-test| = 5.000e+00 exceeds dtype-aware tolerance 8.010e-02 (no fp64 reference)
C17,nan_self_compare,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C17,inf_minus_inf_item,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C20,np_cumsum_int8,1,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C20,np_square_int8,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C20,np_median_f32,0,T2,0,1,1,structure,,,0x0,exit, output structure differs: float32 vs ndarray
C20,np_any_uint8,0,T2,0,1,1,structure,,,0x0,exit, output structure differs: bool vs ndarray
C20,uint16_plus_1,0,T1,1,1,1,exception,,NotImplementedError,0x0,exit," compiled raised NotImplementedError (""add_stub"" not implemented for 'UInt16'), eager returned"
C21,half_float_roundtrip,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C21,bf16_float_roundtrip,0,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 1.440e+02 exceeds dtype-aware tolerance 7.014e+01 (no fp64 reference)
C22,clamp_int8_wide,1,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (value cannot be converted to type int8_t without overflow), compiled returned"
C22,clamp_int8_max300,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (value cannot be converted to type int8_t without overflow), compiled returned"
C22,C31_pad_uint8_value_-1,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (value cannot be converted to type uint8_t without overflow), compiled returned"
C22,C31_pad_int8_value_300,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (value cannot be converted to type int8_t without overflow), compiled returned"
C23,inplace_on_inference_tensor,1,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get ), compiled returned"
C23,deterministic_put__duplicate,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (put_ does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(T), compiled returned"
C23,pad_crops_more_than_input,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (narrow(): length must be non-negative.), compiled returned"
C25,empty_like_randn,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C25,empty_int32,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C28,fp16_chain,1,T1,1,1,1,value,,,0x0,exit, output[1]: NaN/Inf present on one side only
C29,any_uint8,1,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.uint8 vs torch.bool
C29,any_uint8_dim0,0,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.uint8 vs torch.bool
C29,any_times_200_plus_100,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C34,avg_pool1d_ceil_grad,1,T3,0,0,1,gradient,,,0x0,exit, grad[0]: compiled err vs fp64 = 1.667e-01 exceeds 8.0x eager err 3.974e-08
C34,avg_pool2d_ceil_grad,0,T3,0,0,1,gradient,,,0x0,exit, grad[0]: compiled err vs fp64 = 2.500e-01 exceeds 8.0x eager err 3.311e-08
C35,erfinv_f32_near_1,1,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 2.892e-02 exceeds dtype-aware tolerance 3.933e-03 (no fp64 reference)
C35,erfinv_f64_near_1,0,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 2.090e-02 exceeds dtype-aware tolerance 5.964e-03 (no fp64 reference)
C36,acosh_f64_1e200_n8,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C36,acosh_f64_1.35e154_n16,0,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C37,softmax_int64,1,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""softmax_lastdim_kernel_impl"" not implemented for 'Long'), compiled returned"
C37,avg_pool2d_int8,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""avg_pool2d"" not implemented for 'Char'), compiled returned"
C37,bitwise_not_f32,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""bitwise_not_cpu"" not implemented for 'Float'), compiled returned"
C37,conv2d_bool,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""slow_conv2d_cpu"" not implemented for 'Bool'), compiled returned"
C37,argmax_bool,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (argmax(): does not support bool input), compiled returned"
C37,one_hot_f32,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (one_hot is only applicable to index tensor of type LongTensor.), compiled returned"
C37,bessel_j0_f16,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""bessel_j0_cpu"" not implemented for 'Half'), compiled returned"
C37,batch_norm_c64,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""batch_norm"" not implemented for 'ComplexFloat'), compiled returned"
C37,mse_loss_c64,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""mse_cpu"" not implemented for 'ComplexFloat'), compiled returned"
C37,C30_round_int8_decimals-1,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""round_cpu"" not implemented for 'Char'), compiled returned"
C37,C30_round_uint8_decimals1,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""round_cpu"" not implemented for 'Byte'), compiled returned"
C37,C30_ceil_bool,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""ceil_vml_cpu"" not implemented for 'Bool'), compiled returned"
C37,C30_glu_int8,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""glu_cpu"" not implemented for 'Char'), compiled returned"
C37,C30_adaptive_max_pool2d_int8,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""adaptive_max_pool2d"" not implemented for 'Char'), compiled returned"
C40,erf_f32_near_0_n64,1,T3,0,0,1,reference,,,0x0,exit, float64 reference[0]: compiled rel err 1.00e+00 vs eager 6.77e-09 against the reference (64 of 64 elements)
C40,atanh_f32_eps,0,T3,0,0,1,reference,,,0x0,exit, float64 reference[0]: compiled rel err 1.00e+00 vs eager 2.22e-16 against the reference (16 of 64 elements)
C41,move_to_end_input_dict,1,T3,0,0,1,state,,,0x0,exit," input[0].keys: [""\""b\"""", ""\""c\"""", ""\""a\""""] vs [""\""a\"""", ""\""b\"""", ""\""c\""""]"
C41,lru_eviction,0,T3,0,0,1,state,,,0x0,exit," state[0]: ""a"" vs ""b"""
C42,generator_returned,1,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C42,C43_yield_op,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C42,C43_started_no_op,0,none,0,0,0,,,,0x0,exit,
C44,guarded_x[10],1,T1,1,1,1,exception,,IndexError,0x0,exit," compiled raised IndexError (index 10 is out of bounds for dimension 0 with size 3

from user code:
   File ""D:\wsl\personal\dr\paper\toxic_compile\p), eager returned"
C44,guarded_sum_dim5,0,T1,1,1,1,exception,,IndexError,0x0,exit," compiled raised IndexError (Dimension out of range (expected to be in range of [-2, 1], but got 5)

from user code:
   File ""D:\wsl\personal\dr\pape), eager returned"
C44,C45_except_Exception,0,T1,1,1,1,exception,,IndexError,0x0,exit," compiled raised IndexError (index 10 is out of bounds for dimension 0 with size 3

from user code:
   File ""D:\wsl\personal\dr\paper\toxic_compile\p), eager returned"
C44,C45_contextlib_suppress,0,T1,1,1,1,exception,,IndexError,0x0,exit," compiled raised IndexError (Dimension out of range (expected to be in range of [-2, 1], but got 5)

from user code:
   File ""D:\wsl\personal\dr\pape), eager returned"
C44,C45_NotImplementedError,0,T1,1,1,1,exception,,NotImplementedError,0x0,exit," compiled raised NotImplementedError (""bitwise_and_cpu"" not implemented for 'Float'), eager returned"
C46,aoti_runner_destroyed_n4096,1,T3,0,0,1,process,,,0xc0000005,calls_done,compiled process did not exit cleanly after the call(s): phase=calls_done exit=0xc0000005 timed_out=False
