root_cause_id,first_divergence,confirmed,draft_or_filed,elapsed,source
B14,2026-09-09,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 4; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B15,2026-09-09,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 5; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B17,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 15; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B18,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 17; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B19,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 8; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B20,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 11; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B21,date not recorded,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 20; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B22,date not recorded,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 21; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B23,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 9; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B24,2026-09-08,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 1; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B25,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 7; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B26,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 22; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B27,date not recorded,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 30; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
C1,2026-09-20 evening (error_parity_batch2),"isolated reproducer (saved_view_variants.py, 12 variants x 3 backends) - date only",filed 2026-09-21 (#197887),not recorded (ledger has dates only),TO_SUBMIT 31; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C3,2026-09-21 evening (scalar_arg_sequence_diff on nightly),norm_eps_stale_min.py cache 2x2 matrix - date only,filed 2026-09-21 (#197889); C26 comment 2026-09-22,not recorded (ledger has dates only),"TO_SUBMIT 54, 57; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md"
C5,2026-09-20 (error_parity_sweep 8.1),diag_error_parity_leads.py per-case processes 2026-09-20,comment posted 2026-09-21,not recorded (ledger has dates only),TO_SUBMIT 34; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C8,2026-09-21 early morning (rewrite_precondition_diff 10.1),noop_returns_input_alias.py - date only,filed 2026-09-21 (#197893),not recorded (ledger has dates only),TO_SUBMIT 45; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C10,2026-09-21 (int_ub_sweep 8.2),floor_divide_python_example.py - date only,filed 2026-09-21 (#197895),not recorded (ledger has dates only),TO_SUBMIT 38; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C11,2026-09-21 early morning (side_effect_diff),closure_mutation_min2.py - date only,filed 2026-09-21 (#197896),not recorded (ledger has dates only),TO_SUBMIT 42; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C13,2026-09-20 (xtarget_numpy_diff --target dynamo),dynamo_numpy_semantics.py - date only,filed 2026-09-22 (#198052),not recorded (ledger has dates only),TO_SUBMIT 32; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C14,2026-09-21 (int_ub_sweep 8.2),remainder_vector_vs_tail.py - date only,filed 2026-09-22 (#198057),not recorded (ledger has dates only),TO_SUBMIT 39; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C15,2026-09-21 (int_ub_sweep 8.2),int8_minmax_vector_padding.py; Linux re-check (Kaggle) - date only,comment posted 2026-09-22,not recorded (ledger has dates only),TO_SUBMIT 37; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C16,2026-09-21 evening (symint_arith_diff 10.5),scalar_semantics_leads.py - date only,filed 2026-09-22 (#198064),not recorded (ledger has dates only),TO_SUBMIT 52; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C17,2026-09-21 evening (symint_arith_diff 10.5),nan_self_compare.py (11 forms x 3 backends) - date only,filed 2026-09-22 (#198070),not recorded (ledger has dates only),TO_SUBMIT 53; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C20,2026-09-20 (xtarget_numpy_diff --target dynamo),dynamo_numpy_semantics.py - date only,filed 2026-09-22 (#198056),not recorded (ledger has dates only),TO_SUBMIT 33; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C21,"2026-09-21 (int_ub_sweep 8.2, cast_half_back)",inductor_value_leads.py - date only,comment posted 2026-09-22,not recorded (ledger has dates only),TO_SUBMIT 40; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C22,"2026-09-21 (int_ub_sweep 8.2, clamp_wide); C31 2026-09-22 (12.1)",inductor_value_leads.py / dtype_not_implemented_lost.py - date only,filed 2026-09-22 (#198071); C31 comment 2026-09-22,not recorded (ledger has dates only),"TO_SUBMIT 41, 69; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md"
C23,2026-09-21 evening (model_surgery_diff 10.4); item 4 2026-09-21 late night (symshape_index_diff 10.5b),safety_mechanisms_lost.py - date only,comment posted 2026-09-22,not recorded (ledger has dates only),TO_SUBMIT 50; EXECUTION_REPORT 2026-09-20/21 breakpoints (part-of-day markers only); FILED.md
C25,2026-09-22 (split out of draft 22 on the morning of 2026-09-22),issue_174386_recheck.py - date only,comment posted 2026-09-22 (before 09:40),not recorded (no clock time for the first divergence),TO_SUBMIT 56; EXECUTION_REPORT 2026-09-22 07:40/09:40 blocks
C28,"2026-09-22 morning (11.4 edge sweep, f16/bf16 group)",half_intermediates_cpu.py - date only,comment written before ~10:00; posted 2026-09-22 (ledger blocks 09:40 and ~10:00 disagree on the order),not recorded (ledger times inconsistent),TO_SUBMIT 60; EXECUTION_REPORT 2026-09-22 09:40 / ~10:00 blocks
C29,"2026-09-22 before 09:40 (11.4 opinfo_edge_sweep int group, Linux)",cuda_scan_and_any_u8.py - date only,draft ready by 09:40 (checker passed); filed by 11:15 (#198081),"draft->filed <= 1 h 35 min (09:40 -> 11:15, upper bound); sweep->draft not recorded",TO_SUBMIT 65; EXECUTION_REPORT 2026-09-22 09:40 and 11:15 blocks
C34,"2026-09-22 before 11:15 (opinfo_edge_sweep --grad, 12.2)",avg_pool_ceil_mode_backward.py - no clock time,draft ready by 11:15; filed before 14:00 (#198119),"draft->filed <= 2 h 45 min (11:15 -> 14:00, upper bound); sweep->draft not recorded",TO_SUBMIT 72-73; EXECUTION_REPORT 2026-09-22 11:15 and 22:24 blocks
C35,2026-09-22 between 11:15 and 14:00 (large_arg_special_functions.py probe),vector_acosh_erfinv.py (mpmath 30 digits) - no clock time,filed before 14:00 (#198133),"probe->filed <= 2 h 45 min (11:15 -> 14:00, upper bound)","TO_SUBMIT 75; EXECUTION_REPORT 2026-09-22 22:24 block (34, 35 added before 14:00)"
C36,2026-09-22 between 11:15 and 14:00 (large_arg_special_functions.py probe),vector_acosh_erfinv.py - no clock time,filed before 14:00 (#198134),"probe->filed <= 2 h 45 min (11:15 -> 14:00, upper bound)",TO_SUBMIT 76; EXECUTION_REPORT 2026-09-22 22:24 block
C37,Kaggle edgeunsup results retrieved 14:05 2026-09-22 (sweep launch time not recorded),triage + unsupported_dtype_family.py (41 cases re-checked locally) by 14:55,"draft 36 ready 14:55; filed by 15:40 (#198155); C38 comment: GPU results triaged -> comment ready 16:05, posted by 16:40",retrieval->draft 50 min (14:05 -> 14:55); draft->filed <= 45 min; C38: comment ready->posted <= 35 min,"TO_SUBMIT 77, 81; EXECUTION_REPORT 2026-09-22 14:55 / 15:40 / 16:05 / 16:40 entries"
C40,special_vs_mpmath sweep launched after 17:00 2026-09-22 (nothing running at 17:00); hits triaged by 18:45,"reproducer in draft, checker passed, Linux re-check (tcc-erflinux) by 18:45",draft ready 18:45; filed 18:56 (#198183),"sweep launch->draft ready <= 1 h 45 min (17:00 -> 18:45, upper bound); draft->filed 11 min (18:45 -> 18:56)",TO_SUBMIT 85 ('2026-09-22 18:56'); EXECUTION_REPORT 2026-09-22 17:00 / 18:45 entries
C41,"graph_break_insertion_diff (7.6) launched after 19:15 2026-09-22; minimized ($TEMP/od_input.py, od_variants.py, od_bisect.py)","checker passed, 2.14 + nightly outputs real, by 19:30",draft 40 ready 19:30; filed by 19:49 (#198189),"sweep launch->draft ready <= 15 min (19:15 -> 19:30, upper bound); draft->filed <= 19 min",TO_SUBMIT 89; EXECUTION_REPORT 2026-09-22 19:15 / 19:30 / 19:49 entries
C42,"same 7.6 sweep, after 19:15 2026-09-22; C43 family from reconstruct_diff (12.6), triaged 19:49",checker passed by 19:30; Linux re-check (tcc-dynsemlinux) 19:49,draft 41 ready 19:30; filed by 19:49 (#198190); C43 comment posted by 20:12,sweep launch->draft ready <= 15 min (upper bound); draft->filed <= 19 min; C43: triage 19:49 -> posted <= 23 min,TO_SUBMIT 89-90; EXECUTION_REPORT 2026-09-22 19:30 / 19:49 / 20:12 entries
C44,corpus batch 4 (57 programs) written and run after 19:52 2026-09-22 (nothing running at 19:52),$TEMP/exc_types.py (25 operator errors) - within the same window,"draft 42 ready and filed by 20:12 (#198192); C45 comment (batch 5, 33 programs) posted 22:03","batch launch->filed <= 20 min (19:52 -> 20:12, upper bound); C45: <= 1 h 38 min after 20:25 (batch 5 not yet running at 20:25)","TO_SUBMIT 94, 100; EXECUTION_REPORT 2026-09-22 19:52 / 20:12 / 20:25 / 22:03 entries"
C46,export_roundtrip_edge (7.7) running at 20:25 2026-09-22; segfault at slice_scatter found when the sweep finished,"minimized ($TEMP/ss_min.py, ss_var.py, ss_size.py, ss_omp.py: element count >= 4096, 4 avoidance conditions) by 21:39",draft 43 ready and filed by 21:39 (#198205),"sweep running->filed <= 1 h 14 min (20:25 -> 21:39, upper bound; sweep runtime included)",TO_SUBMIT 99; EXECUTION_REPORT 2026-09-22 20:25 / 21:39 entries
